window_id,window_start_utc,window_end_utc,second_in_window,timestamp,datetime_utc,up_cents,down_cents,btc_price_usd,market_slug,up_token_id,down_token_id
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,92,1773901892,2026-03-19 06:31:32 UTC,51.5,47.5,70737.13,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,93,1773901893,2026-03-19 06:31:33 UTC,52.5,47.5,70737.13,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,94,1773901894,2026-03-19 06:31:34 UTC,54.5,45.5,70737.13,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,95,1773901895,2026-03-19 06:31:35 UTC,54.5,45.5,70737.13,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,96,1773901896,2026-03-19 06:31:36 UTC,56.0,41.5,70737.13,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,97,1773901897,2026-03-19 06:31:37 UTC,58.5,41.5,70742.78,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,98,1773901898,2026-03-19 06:31:38 UTC,62.5,37.5,70742.79,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,99,1773901899,2026-03-19 06:31:39 UTC,62.5,37.5,70742.78,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,100,1773901900,2026-03-19 06:31:40 UTC,60.5,39.5,70742.78,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,101,1773901901,2026-03-19 06:31:41 UTC,56.5,44.5,70740.24,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,102,1773901902,2026-03-19 06:31:42 UTC,53.5,47.5,70737.14,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
1773902100,2026-03-19 06:30:00 UTC,2026-03-19 06:35:00 UTC,103,1773901903,2026-03-19 06:31:43 UTC,50.5,49.5,70737.14,btc-updown-5m-1773901800,3839770525058904782371158074703495872594580995415957728874275490225403429748,64188467362977286402662692565311743531875482545837492827189463523752835954949
