window_key,window_ts,window_id,market_slug,target_buy_second,target_sell_second,up_0,up_10,up_20,up_30,up_0_bucket,up_10_bucket,up_20_bucket,up_30_bucket,up_slope_0_30,up_slope_dir,btc_slope_0_30,btc_slope_dir,crossed_below_45_before_buy,crossed_above_55_before_buy,spread_30,spread_30_bucket,up_volatility_0_buy,btc_volatility_0_buy,up_range_0_buy,btc_change_0_buy,up_change_10_30,up_profit_c,down_profit_c,up_win,down_win
1773907800__btc-updown-5m-1773907500,1773907800,1773907800,btc-updown-5m-1773907500,65,265,50.5,55.5,57.5,56.5,45to55,gt55,gt55,gt55,0.2,positive,0.2970000000001164,positive,False,True,14.0,up_dominant,4.217955682287457,9.13043723689066,16.0,21.869999999995343,1.0,25.0,-25.0,True,False
1773908100__btc-updown-5m-1773907800,1773908100,1773908100,btc-updown-5m-1773907800,65,265,50.5,53.5,57.5,61.5,45to55,45to55,gt55,gt55,0.36666666666666664,positive,0.6233333333337214,positive,True,True,23.0,up_dominant,9.694921658723121,20.535043800176265,33.0,-41.06999999999243,8.0,47.0,-48.5,True,False
1773908400__btc-updown-5m-1773908100,1773908400,1773908400,btc-updown-5m-1773908100,65,265,48.5,49.5,59.5,70.5,45to55,45to55,gt55,gt55,0.7333333333333333,positive,1.8720000000001165,positive,False,True,41.0,up_dominant,8.33143573436031,18.49449534477384,26.5,46.06999999999243,21.0,-24.0,24.0,False,True
1773908700__btc-updown-5m-1773908400,1773908700,1773908700,btc-updown-5m-1773908400,65,265,48.5,62.5,72.5,76.5,45to55,gt55,gt55,gt55,0.9333333333333333,positive,1.7793333333330035,positive,False,True,53.0,up_dominant,8.221522629260006,16.313287904617344,30.0,60.64999999999418,14.0,-72.0,69.0,False,True
1773909000__btc-updown-5m-1773908700,1773909000,1773909000,btc-updown-5m-1773908700,65,265,51.0,27.5,33.5,24.5,45to55,lt45,lt45,lt45,-0.8833333333333333,negative,-2.455000000000291,negative,True,False,-51.5,down_dominant,8.053354564582598,20.867968002288134,36.5,-96.27000000000407,-3.0,-14.0,14.0,False,True
1773909300__btc-updown-5m-1773909000,1773909300,1773909300,btc-updown-5m-1773909000,65,265,54.5,51.5,50.5,49.5,45to55,45to55,45to55,45to55,-0.16666666666666666,negative,-0.08400000000013581,negative,False,True,-1.0,neutral,1.5955919535637293,3.0846577008351668,7.0,2.4100000000034925,-2.0,-6.5,6.5,False,True
1773909600__btc-updown-5m-1773909300,1773909600,1773909600,btc-updown-5m-1773909300,65,265,50.5,54.5,58.5,59.5,45to55,45to55,gt55,gt55,0.3,positive,0.4546666666666473,positive,False,True,18.0,up_dominant,3.095695936834452,5.504571463959405,13.0,4.9100000000034925,5.0,-59.0,59.0,False,True
1773910500__btc-updown-5m-1773910200,1773910500,1773910500,btc-updown-5m-1773910200,65,265,50.0,56.5,54.5,30.5,45to55,gt55,45to55,lt45,-0.65,negative,-1.2393333333335856,negative,True,True,-37.5,down_dominant,8.167232369230275,17.715996893671626,27.0,-20.580000000001746,-26.0,-39.35,38.849999999999994,False,True
1773910800__btc-updown-5m-1773910500,1773910800,1773910800,btc-updown-5m-1773910500,65,265,52.5,55.0,52.5,52.5,45to55,45to55,45to55,45to55,0.0,flat,0.12933333333348856,positive,True,True,4.0,neutral,5.462331353920079,10.755669699897451,19.5,-8.539999999993597,-2.5,-28.0,28.0,False,True
1773911100__btc-updown-5m-1773910800,1773911100,1773911100,btc-updown-5m-1773910800,65,265,52.5,63.5,73.5,79.5,45to55,gt55,gt55,gt55,0.9,positive,1.7833333333333334,positive,False,True,59.0,up_dominant,9.18135562391228,27.075507838719012,32.0,54.970000000001164,16.0,19.0,-19.0,True,False
1773911400__btc-updown-5m-1773911100,1773911400,1773911400,btc-updown-5m-1773911100,65,265,52.5,59.0,47.5,54.5,45to55,gt55,45to55,45to55,0.06666666666666667,positive,-0.12433333333368259,negative,True,True,9.0,up_dominant,5.621094705953334,11.684841967063644,26.0,-31.55000000000291,-4.5,15.0,-14.5,True,False
1773911700__btc-updown-5m-1773911400,1773911700,1773911700,btc-updown-5m-1773911400,65,265,50.0,55.5,54.5,52.5,45to55,gt55,45to55,45to55,0.08333333333333333,positive,0.23266666666653085,positive,True,True,5.0,neutral,3.698126061079633,5.970851388149815,19.0,2.569999999992433,-3.0,-40.0,40.5,False,True
1773912000__btc-updown-5m-1773911700,1773912000,1773912000,btc-updown-5m-1773911700,65,265,48.5,38.5,42.5,34.5,45to55,lt45,lt45,lt45,-0.4666666666666667,negative,-0.6290000000003299,negative,True,False,-30.5,down_dominant,3.829258823910427,6.972193248616956,14.0,-8.760000000009313,-4.0,37.5,-37.0,True,False
1773912600__btc-updown-5m-1773912300,1773912600,1773912600,btc-updown-5m-1773912300,65,265,49.5,49.5,55.5,59.5,45to55,45to55,gt55,gt55,0.3333333333333333,positive,1.327666666666725,positive,True,True,19.0,up_dominant,12.163725162364036,48.20868921202748,42.5,-62.30999999999767,10.0,-22.5,22.0,False,True
1773912900__btc-updown-5m-1773912600,1773912900,1773912900,btc-updown-5m-1773912600,65,265,49.5,63.5,62.5,63.0,45to55,gt55,gt55,gt55,0.45,positive,0.8973333333332751,positive,False,True,25.5,up_dominant,7.343472986296002,21.05241914833609,30.0,73.11000000000058,-0.5,-76.5,76.0,False,True
1773913200__btc-updown-5m-1773912900,1773913200,1773913200,btc-updown-5m-1773912900,65,265,51.5,52.5,59.5,68.5,45to55,45to55,gt55,gt55,0.5666666666666667,positive,1.2720000000001164,positive,False,True,37.0,up_dominant,7.75830074737278,22.831000453908587,23.0,67.88000000000466,16.0,26.0,-25.0,True,False
1773913500__btc-updown-5m-1773913200,1773913500,1773913500,btc-updown-5m-1773913200,65,265,48.0,39.5,40.5,45.5,45to55,lt45,lt45,45to55,-0.08333333333333333,negative,0.20099999999996118,positive,True,True,-9.0,down_dominant,15.449139354515028,36.26596936617062,43.0,79.25,6.0,18.0,-18.0,True,False
1773913800__btc-updown-5m-1773913500,1773913800,1773913800,btc-updown-5m-1773913500,65,265,47.5,45.5,42.5,57.5,45to55,45to55,lt45,gt55,0.3333333333333333,positive,1.5943333333333916,positive,True,True,14.5,up_dominant,8.96987612433697,21.173891743722,35.0,1.5599999999976717,12.0,30.0,-30.0,True,False
1773914100__btc-updown-5m-1773913800,1773914100,1773914100,btc-updown-5m-1773913800,65,265,46.5,50.5,55.5,36.5,45to55,45to55,gt55,lt45,-0.3333333333333333,negative,-1.6799999999998059,negative,True,True,-28.0,down_dominant,10.116859093844372,27.451112757841653,32.5,-59.270000000004075,-14.0,-27.0,27.0,False,True
1773914400__btc-updown-5m-1773914100,1773914400,1773914400,btc-updown-5m-1773914100,65,265,47.5,46.5,49.5,60.5,45to55,45to55,45to55,gt55,0.43333333333333335,positive,0.776333333333605,positive,True,True,20.0,up_dominant,5.1235201899497556,9.459412695540141,19.0,17.10000000000582,14.0,39.0,-39.0,True,False
1773914700__btc-updown-5m-1773914400,1773914700,1773914700,btc-updown-5m-1773914400,65,265,46.5,50.5,47.5,51.5,45to55,45to55,45to55,45to55,0.16666666666666666,positive,0.2889999999999418,positive,True,True,3.0,neutral,7.719399583887393,15.630143918022892,29.0,-35.98000000001048,1.0,-30.0,30.0,False,True
1773915000__btc-updown-5m-1773914700,1773915000,1773915000,btc-updown-5m-1773914700,65,265,52.5,55.5,55.5,55.5,45to55,gt55,gt55,gt55,0.1,positive,0.30800000000017463,positive,False,True,11.0,up_dominant,2.9474760023120954,7.311615890374937,14.0,29.90000000000873,0.0,19.5,-20.0,True,False
1773915300__btc-updown-5m-1773915000,1773915300,1773915300,btc-updown-5m-1773915000,65,265,48.5,53.5,65.5,63.5,45to55,45to55,gt55,gt55,0.5,positive,0.8773333333335661,positive,False,True,27.0,up_dominant,4.953966234329052,10.172646862638743,18.0,6.19999999999709,10.0,7.5,-7.0,True,False
1773915600__btc-updown-5m-1773915300,1773915600,1773915600,btc-updown-5m-1773915300,65,265,48.5,58.5,58.5,55.5,45to55,gt55,gt55,gt55,0.23333333333333334,positive,0.38233333333337216,positive,False,True,11.0,up_dominant,4.451684300683019,5.770026030294248,17.5,2.3299999999871943,-3.0,48.0,-48.0,True,False
1773915900__btc-updown-5m-1773915600,1773915900,1773915900,btc-updown-5m-1773915600,65,265,49.5,63.5,53.5,46.5,45to55,gt55,45to55,45to55,-0.1,negative,-0.2536666666666861,negative,True,True,-7.0,down_dominant,14.93628379021675,27.33930307087627,45.0,-59.15000000000873,-17.0,46.0,-46.0,True,False
1773916200__btc-updown-5m-1773915900,1773916200,1773916200,btc-updown-5m-1773915900,65,265,49.5,40.5,39.5,40.0,45to55,lt45,lt45,lt45,-0.31666666666666665,negative,-0.6019999999999224,negative,True,False,-20.5,down_dominant,3.8666654792436668,6.961499652407637,16.0,-1.25,-0.5,-36.0,35.5,False,True
1773916500__btc-updown-5m-1773916200,1773916500,1773916500,btc-updown-5m-1773916200,65,265,51.5,53.0,49.5,53.5,45to55,45to55,45to55,45to55,0.06666666666666667,positive,0.32333333333323633,positive,True,True,7.0,up_dominant,9.82426216979677,15.46888384471537,33.0,-33.270000000004075,0.5,-28.0,28.0,False,True
1773916800__btc-updown-5m-1773916500,1773916800,1773916800,btc-updown-5m-1773916500,65,265,50.5,64.5,67.5,64.5,45to55,gt55,gt55,gt55,0.4666666666666667,positive,0.7413333333335079,positive,True,True,29.0,up_dominant,9.260120292074584,13.160334098041758,29.0,-12.029999999998836,0.0,-41.5,42.0,False,True
1773917100__btc-updown-5m-1773916800,1773917100,1773917100,btc-updown-5m-1773916800,65,265,54.0,54.0,58.5,51.5,45to55,45to55,gt55,45to55,-0.08333333333333333,negative,-0.0486666666668801,negative,True,True,3.0,neutral,10.722124684940589,16.0905027084449,33.0,-23.970000000001164,-2.5,-28.0,28.0,False,True
1773917400__btc-updown-5m-1773917100,1773917400,1773917400,btc-updown-5m-1773917100,65,265,53.5,53.5,50.5,54.5,45to55,45to55,45to55,45to55,0.03333333333333333,positive,-0.04666666666695771,negative,True,True,9.0,up_dominant,4.4788299091807335,5.588796126962469,20.0,-3.150000000008731,1.0,49.0,-50.0,True,False
1773917700__btc-updown-5m-1773917400,1773917700,1773917700,btc-updown-5m-1773917400,65,265,50.5,27.5,17.5,16.5,45to55,lt45,lt45,lt45,-1.1333333333333333,negative,-2.0820000000002135,negative,True,False,-67.0,down_dominant,7.406751195298393,17.472502631545,35.0,-73.83000000000175,-11.0,-17.0,17.0,False,True
1773918000__btc-updown-5m-1773917700,1773918000,1773918000,btc-updown-5m-1773917700,65,265,50.5,50.0,49.5,50.5,45to55,45to55,45to55,45to55,0.0,flat,0.0,flat,True,False,1.0,neutral,2.198915021715772,3.772019417592541,8.0,-8.430000000007567,0.5,-42.0,42.0,False,True
1773918300__btc-updown-5m-1773918000,1773918300,1773918300,btc-updown-5m-1773918000,65,265,52.5,52.5,45.5,54.5,45to55,45to55,45to55,45to55,0.06666666666666667,positive,-0.058666666666977105,negative,True,True,9.0,up_dominant,5.953080242276477,9.167991125204404,22.0,9.169999999998254,2.0,36.0,-36.0,True,False
1773918600__btc-updown-5m-1773918300,1773918600,1773918600,btc-updown-5m-1773918300,65,265,51.0,52.0,41.5,37.5,45to55,45to55,lt45,lt45,-0.45,negative,-0.6326666666665308,negative,True,False,-26.0,down_dominant,11.380462290554814,18.748518433047284,31.0,-40.05999999999767,-14.5,-12.0,12.5,False,True
1773918900__btc-updown-5m-1773918600,1773918900,1773918900,btc-updown-5m-1773918600,65,265,53.0,38.0,38.5,39.5,45to55,lt45,lt45,lt45,-0.45,negative,0.1539999999998448,positive,True,False,-21.0,down_dominant,5.194672166406375,6.423786191989259,19.0,12.869999999995343,1.5,15.0,-15.0,True,False
1773919200__btc-updown-5m-1773918900,1773919200,1773919200,btc-updown-5m-1773918900,65,265,50.5,53.5,56.5,59.5,45to55,45to55,gt55,gt55,0.3,positive,0.526333333333605,positive,True,True,18.0,up_dominant,5.800483063066554,7.4668966168854825,17.0,4.670000000012806,6.0,31.0,-31.0,True,False
1773919500__btc-updown-5m-1773919200,1773919500,1773919500,btc-updown-5m-1773919200,65,265,50.5,63.5,50.5,63.5,45to55,gt55,45to55,gt55,0.43333333333333335,positive,0.6566666666665697,positive,False,True,29.0,up_dominant,5.17354913497246,7.132511842518244,16.0,6.210000000006403,0.0,6.0,-6.0,True,False
1773919800__btc-updown-5m-1773919500,1773919800,1773919800,btc-updown-5m-1773919500,65,265,51.5,47.5,59.5,54.5,45to55,45to55,gt55,45to55,0.1,positive,0.15933333333329452,positive,False,True,9.0,up_dominant,4.073398269490922,4.499747051863679,14.0,-3.0200000000040745,7.0,13.0,-14.0,True,False
1773920100__btc-updown-5m-1773919800,1773920100,1773920100,btc-updown-5m-1773919800,65,265,49.5,49.5,55.0,65.5,45to55,45to55,45to55,gt55,0.5333333333333333,positive,0.6379999999999806,positive,True,True,30.0,up_dominant,8.450471485045034,12.263798574938805,37.0,30.65000000000873,16.0,-72.0,72.0,False,True
1773920700__btc-updown-5m-1773920400,1773920700,1773920700,btc-updown-5m-1773920400,65,265,51.5,56.0,51.5,55.5,45to55,gt55,45to55,gt55,0.13333333333333333,positive,0.511333333333217,positive,True,True,11.0,up_dominant,6.377042156569663,9.704587775792094,25.5,-0.11000000000058208,-0.5,-23.5,25.0,False,True
1773921000__btc-updown-5m-1773920700,1773921000,1773921000,btc-updown-5m-1773920700,65,265,54.5,57.5,55.5,59.5,45to55,gt55,gt55,gt55,0.16666666666666666,positive,0.4420000000003104,positive,False,True,19.0,up_dominant,7.023119534009136,11.540236986170497,25.0,20.770000000004075,2.0,-27.0,27.5,False,True
1773921300__btc-updown-5m-1773921000,1773921300,1773921300,btc-updown-5m-1773921000,65,265,53.5,50.5,50.5,44.5,45to55,45to55,45to55,lt45,-0.3,negative,-0.47566666666680246,negative,True,False,-8.0,down_dominant,4.36682464542947,6.084385442434835,15.0,-4.2700000000040745,-6.0,-47.0,49.0,False,True
1773921600__btc-updown-5m-1773921300,1773921600,1773921600,btc-updown-5m-1773921300,65,265,50.5,49.5,42.0,43.5,45to55,45to55,lt45,lt45,-0.23333333333333334,negative,-0.2,negative,True,False,-13.0,down_dominant,6.715818292298406,8.458721024104516,23.0,-27.54000000000815,-6.0,7.5,-2.5,True,False
1773921900__btc-updown-5m-1773921600,1773921900,1773921900,btc-updown-5m-1773921600,65,265,55.5,49.5,47.5,47.5,gt55,45to55,45to55,45to55,-0.26666666666666666,negative,-0.39733333333327514,negative,True,True,-5.0,neutral,5.446837988882631,8.695446477316148,19.0,-29.80000000000291,-2.0,-37.0,36.0,False,True
1773922200__btc-updown-5m-1773921900,1773922200,1773922200,btc-updown-5m-1773921900,65,265,56.5,49.5,36.5,26.5,gt55,45to55,lt45,lt45,-1.0,negative,-0.9896666666667443,negative,True,True,-47.5,down_dominant,14.769230355345409,41.72476828051141,50.5,-57.30999999999767,-23.0,-19.0,19.0,False,True
1773922800__btc-updown-5m-1773922500,1773922800,1773922800,btc-updown-5m-1773922500,65,265,51.0,51.5,49.5,48.5,45to55,45to55,45to55,45to55,-0.08333333333333333,negative,-0.0726666666669189,negative,True,True,-3.0,neutral,10.787378691166355,31.01163246901246,39.0,-94.29000000000815,-3.0,-16.0,16.5,False,True
1773923100__btc-updown-5m-1773922800,1773923100,1773923100,btc-updown-5m-1773922800,65,265,52.5,68.0,68.5,66.5,45to55,gt55,gt55,gt55,0.4666666666666667,positive,1.3926666666666279,positive,False,True,33.5,up_dominant,6.58226531769879,16.97952764763524,21.0,8.5,-1.5,43.0,-43.0,True,False
1773923400__btc-updown-5m-1773923100,1773923400,1773923400,btc-updown-5m-1773923100,65,265,58.0,54.5,50.5,44.5,gt55,45to55,45to55,lt45,-0.45,negative,-0.4009999999999612,negative,True,True,-11.0,down_dominant,6.247258351837272,10.039409499067375,22.0,-16.70000000001164,-10.0,-41.0,40.0,False,True
1773923700__btc-updown-5m-1773923400,1773923700,1773923700,btc-updown-5m-1773923400,65,265,54.0,41.5,47.5,42.5,45to55,lt45,45to55,lt45,-0.38333333333333336,negative,-0.8543333333330035,negative,True,True,-15.0,down_dominant,6.374215593002717,13.827433505728777,29.5,-12.509999999994761,1.0,-34.0,34.5,False,True
1773924000__btc-updown-5m-1773923700,1773924000,1773924000,btc-updown-5m-1773923700,65,265,51.5,60.5,59.5,60.5,45to55,gt55,gt55,gt55,0.3,positive,0.3220000000001164,positive,False,True,21.0,up_dominant,9.184955459621182,30.337003265791108,29.0,59.70999999999185,0.0,18.5,-18.0,True,False
1773924300__btc-updown-5m-1773924000,1773924300,1773924300,btc-updown-5m-1773924000,65,265,52.5,47.5,48.0,56.0,45to55,45to55,45to55,gt55,0.11666666666666667,positive,0.8836666666669771,positive,True,True,14.5,up_dominant,6.653137097753658,14.678382429401738,21.5,25.24000000000524,8.5,42.5,-42.0,True,False
1773924600__btc-updown-5m-1773924300,1773924600,1773924600,btc-updown-5m-1773924300,65,265,53.5,38.5,33.5,45.0,45to55,lt45,lt45,45to55,-0.2833333333333333,negative,-0.16766666666662786,negative,True,True,-12.5,down_dominant,7.815039302659458,15.391906756313706,29.0,15.720000000001164,6.5,-55.5,56.0,False,True
